"","Plant","Type","Treatment","conc","uptake"
"1","Qn1","Quebec","nonchilled",95,16
"2","Qn1","Quebec","nonchilled",175,30.4
"3","Qn1","Quebec","nonchilled",250,34.8
"4","Qn1","Quebec","nonchilled",350,37.2
"5","Qn1","Quebec","nonchilled",500,35.3
"6","Qn1","Quebec","nonchilled",675,39.2
"7","Qn1","Quebec","nonchilled",1000,39.7
"8","Qn2","Quebec","nonchilled",95,13.6
"9","Qn2","Quebec","nonchilled",175,27.3
"10","Qn2","Quebec","nonchilled",250,37.1
"11","Qn2","Quebec","nonchilled",350,41.8
"12","Qn2","Quebec","nonchilled",500,40.6
"13","Qn2","Quebec","nonchilled",675,41.4
"14","Qn2","Quebec","nonchilled",1000,44.3
"15","Qn3","Quebec","nonchilled",95,16.2
"16","Qn3","Quebec","nonchilled",175,32.4
"17","Qn3","Quebec","nonchilled",250,40.3
"18","Qn3","Quebec","nonchilled",350,42.1
"19","Qn3","Quebec","nonchilled",500,42.9
"20","Qn3","Quebec","nonchilled",675,43.9
"21","Qn3","Quebec","nonchilled",1000,45.5
"43","Mn1","Mississippi","nonchilled",95,10.6
"44","Mn1","Mississippi","nonchilled",175,19.2
"45","Mn1","Mississippi","nonchilled",250,26.2
"46","Mn1","Mississippi","nonchilled",350,30
"47","Mn1","Mississippi","nonchilled",500,30.9
"48","Mn1","Mississippi","nonchilled",675,32.4
"49","Mn1","Mississippi","nonchilled",1000,35.5
"50","Mn2","Mississippi","nonchilled",95,12
"51","Mn2","Mississippi","nonchilled",175,22
"52","Mn2","Mississippi","nonchilled",250,30.6
"53","Mn2","Mississippi","nonchilled",350,31.8
"54","Mn2","Mississippi","nonchilled",500,32.4
"55","Mn2","Mississippi","nonchilled",675,31.1
"56","Mn2","Mississippi","nonchilled",1000,31.5
"57","Mn3","Mississippi","nonchilled",95,11.3
"58","Mn3","Mississippi","nonchilled",175,19.4
"59","Mn3","Mississippi","nonchilled",250,25.8
"60","Mn3","Mississippi","nonchilled",350,27.9
"61","Mn3","Mississippi","nonchilled",500,28.5
"62","Mn3","Mississippi","nonchilled",675,28.1
"63","Mn3","Mississippi","nonchilled",1000,27.8
